No.	CHRIP_ID	CAS RN	CAS Identity	Chemical Substance Name
1	C004-685-91A	50-00-0		Formaldehyde
2	C005-395-75A	50-02-2		"9-Fluoro-11beta,17,21-trihydroxy-16alpha-methylpregna-1,4-diene-3,20-dione"
3	C005-397-24A	50-03-3		Hydrocortisone acetate
4	C005-397-91A	50-04-4		"21-Acetoxy-17-hydroxypregn-4-ene-3,11,20-trione"
5	C005-019-88A	50-06-6		Phenobarbital
6	C005-018-08A	50-07-7		"[(1aS,8S,8aR,8bS)-6-Amino-8a-methoxy-5-methyl-4,7-dioxo-1,1a,2,4,7,8,8a,8b-octahydroazireno[2',3':3,4]pyrrolo[1,2-a]indol-8-yl]methyl carbamate"
7	C017-109-18A	50-09-9		"Monosodium salt of 5-(1-cyclohexen-1-yl)-1,5-dimethylbarbituric acid"
8	C008-525-22A	50-11-3		Metharbital
9	C006-032-85A	50-14-6		"(S,Z)-3-[(E)-2-{(1R,3aS,7aR)-1-[(2R,3E,5R)-5,6-Dimethylhept-3-en-2-yl]-7a-methyloctahydro-4H-inden-4-ylidene}ethylidene]-4-methylidenecyclohexanol"
10	C004-722-79A	50-18-0		"2-[Bis(2-chloroethyl)amino]-2-oxo-1,3,2lambda(5)-oxazaphosphinane"
11	C004-706-59A	50-21-5		2-Hydroxypropanoic acid
12	C005-395-19A	50-23-7		Cortisol
13	C006-265-66A	50-24-8		"11beta,17,21-Trihydroxypregna-1,4-diene-3,20-dione"
14	C005-389-69A	50-27-1		Estriol
15	C004-662-44A	50-29-3		"1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane"
16	C007-188-81A	50-30-6		"2,6-dichlorobenzoic acid"
17	C005-480-54A	50-31-7		"2,3,6-TBA"
18	C005-040-23A	50-33-9		Phenylbutazone
19	C006-265-77A	50-34-0		Diisopropyl(methyl){2-[(9H-xanthen-9-ylcarbonyl)oxy]ethyl}ammonium bromide
20	C008-949-44A	50-38-4		"2,3,5,6-Tetrachlorobenzoic acid"
21	C008-949-66A	50-40-8		"2,3,4,6-Tetrachlorobenzoic acid"
22	C008-949-88A	50-43-1		"2,4,6-Trichlorobenzoic acid"
23	C005-035-42A	50-44-2		"1,9-Dihydro-6H-purine-6-thione"
24	C008-949-99A	50-45-3		"2,3-Dichlorobenzoic acid"
25	C008-539-01A	50-47-5		Desipramine
26	C010-302-73A	50-48-6		Amitriptyline
27	C011-694-71A	50-49-7		Imipramine
28	C006-299-63A	50-53-3		Chlorpromazine
29	C005-042-38A	50-55-5		"Methyl 11,17alpha-dimethoxy-18beta-[(3,4,5-trimethoxybenzoyl)oxy]-3beta,20alpha-yohimban-16beta-carboxylate"
