"CHEMICAL_ID_NUMBER","STRIPPED_CHEMICAL_ID_NUMBER","Nat_Agg_PV","Nat_Agg_PPV_2014","Nat_Agg_PPV_2013","Nat_Agg_PPV_2012"
"00000","0","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs"
"100-01-6","100016","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"100-06-1","100061","                         0 lbs","             0 lbs","             0 lbs","             0 lbs"
"10006-28-7","10006287","                   256,092 lbs","       260,861 lbs","       238,634 lbs","       125,458 lbs"
"1000-82-4","1000824","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"1000-90-4","1000904","<1,000,000 lbs","<1,000,000 lbs","             0 lbs","<1,000,000 lbs"
"100-10-7","100107","                    16,534 lbs","         7,936 lbs","        18,518 lbs","        13,227 lbs"
"10016-20-3","10016203","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100-17-4","100174","                         0 lbs","             0 lbs","       317,466 lbs","        39,683 lbs"
"10017-56-8","10017568","100,000 - <500,000 lbs","25,000 - <100,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100-18-5","100185","50,000,000 - <100,000,000 lbs","250,000,000 - <500,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs"
"100208-96-6","100208966","<1,000,000 lbs","             0 lbs","             0 lbs","<1,000,000 lbs"
"100-20-9","100209","10,000,000 - <50,000,000 lbs","50,000,000 - <100,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"100-21-0","100210","5,000,000,000 - <10,000,000,000 lbs","5,000,000,000 - <10,000,000,000 lbs","5,000,000,000 - <10,000,000,000 lbs","5,000,000,000 - <10,000,000,000 lbs"
"10022-31-8","10022318","500,000 - <1,000,000 lbs","     1,430,735 lbs","     1,075,410 lbs","500,000 - <1,000,000 lbs"
"10024-66-5","10024665","25,000 - <100,000 lbs","500,000 - <1,000,000 lbs","1,000,000 - <10,000,000 lbs","500,000 - <1,000,000 lbs"
"10024-93-8","10024938","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10024-97-2","10024972","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs"
"10025-67-9","10025679","50,000,000 - <100,000,000 lbs","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs","50,000,000 - <100,000,000 lbs"
"10025-73-7","10025737","                   104,489 lbs","        73,726 lbs","        74,100 lbs","        58,605 lbs"
"10025-78-2","10025782","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","750,000,000 - <1,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs"
"10025-82-8","10025828","<1,000,000 lbs","        27,874 lbs","        26,024 lbs","<1,000,000 lbs"
"10025-87-3","10025873","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"10026-04-7","10026047","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","750,000,000 - <1,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs"
"10026-11-6","10026116","                16,351,059 lbs","    18,459,633 lbs","    23,695,208 lbs","    23,611,291 lbs"
"10026-12-7","10026127","                    25,586 lbs","        27,866 lbs","        48,789 lbs","        31,301 lbs"
"1002-62-6","1002626","100,000 - <500,000 lbs","500,000 - <1,000,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"1002-67-1","1002671","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","<1,000,000 lbs"
"1002-69-3","1002693","                   212,775 lbs","       124,594 lbs","       187,866 lbs","       181,373 lbs"
"10027-33-5","10027335","                    49,000 lbs","        46,000 lbs","        39,000 lbs","        41,000 lbs"
"10028-18-9","10028189","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10028-22-5","10028225","500,000,000 - <750,000,000 lbs","500,000,000 - <750,000,000 lbs","500,000,000 - <750,000,000 lbs","500,000,000 - <750,000,000 lbs"
"1002-84-2","1002842","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"1002-89-7","1002897","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10031-30-8","10031308","               770,000,000 lbs","   820,000,000 lbs","   820,000,000 lbs","   890,000,000 lbs"
"1003300-72-8","1003300728","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10034-77-2","10034772","20,000,000,000 - <30,000,000,000 lbs","20,000,000,000 - <30,000,000,000 lbs","20,000,000,000 - <30,000,000,000 lbs","20,000,000,000 - <30,000,000,000 lbs"
"10034-85-2","10034852","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10035-10-6","10035106","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs"
"100-37-8","100378","1,000,000 - <10,000,000 lbs","10,000,000 - <50,000,000 lbs","1,000,000 - <10,000,000 lbs","10,000,000 - <50,000,000 lbs"
"10038-98-9","10038989","                   168,028 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10039-54-0","10039540","750,000,000 - <1,000,000,000 lbs","750,000,000 - <1,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","750,000,000 - <1,000,000,000 lbs"
"100402-75-3","100402753","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"100402-78-6","100402786","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100402-82-2","100402822","<1,000,000 lbs","       215,869 lbs","       276,908 lbs","       323,059 lbs"
"100402-91-3","100402913","1,000,000 - <20,000,000 lbs","     2,447,108 lbs","     2,052,490 lbs","1,000,000 - <20,000,000 lbs"
"100-40-3","100403","1,000,000 - <20,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"100-41-4","100414","10,000,000,000 - <20,000,000,000 lbs","10,000,000,000 - <20,000,000,000 lbs","10,000,000,000 - <20,000,000,000 lbs","10,000,000,000 - <20,000,000,000 lbs"
"1004-14-4","1004144","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100-42-5","100425","10,000,000,000 - <20,000,000,000 lbs","10,000,000,000 - <20,000,000,000 lbs","10,000,000,000 - <20,000,000,000 lbs","10,000,000,000 - <20,000,000,000 lbs"
"10042-59-8","10042598","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs"
"10042-76-9","10042769","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","500,000 - <1,000,000 lbs","1,000,000 - <10,000,000 lbs"
"10043-01-3","10043013","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs"
"10043-11-5","10043115","                 1,094,823 lbs","     1,285,424 lbs","     1,080,890 lbs","     1,114,792 lbs"
"10043-35-3","10043353","500,000,000 - <750,000,000 lbs","750,000,000 - <1,000,000,000 lbs","500,000,000 - <750,000,000 lbs","500,000,000 - <750,000,000 lbs"
"10043-52-4","10043524","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs"
"100-43-6","100436","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10043-67-1","10043671","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100-44-7","100447","50,000,000 - <100,000,000 lbs","10,000,000 - <50,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs"
"10045-95-1","10045951","<1,000,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"100-46-9","100469","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100-47-0","100470","                   130,000 lbs","       260,000 lbs","       130,000 lbs","         3,100 lbs"
"100-48-1","100481","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"10048-98-3","10048983","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10049-04-4","10049044","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs"
"10049-06-6","10049066","                         0 lbs","        85,198 lbs","        60,561 lbs","        72,592 lbs"
"10049-36-2","10049362","1,000,000 - <10,000,000 lbs","500,000 - <1,000,000 lbs","1,000,000 - <10,000,000 lbs","500,000 - <1,000,000 lbs"
"100-50-5","100505","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10051-44-2","10051442","                 5,387,157 lbs","     4,972,231 lbs","     5,193,370 lbs","     5,482,843 lbs"
"100-51-6","100516","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"100517","100517","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10052-47-8","10052478","                         0 lbs","        46,004 lbs","             0 lbs","        83,964 lbs"
"100-52-7","100527","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"100545-50-4","100545504","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100-54-9","100549","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"1005-67-0","1005670","                         0 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10058-23-8","10058238","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10058-44-3","10058443","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100-61-8","100618","1,000,000 - <20,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100-64-1","100641","               482,930,100 lbs","   480,968,142 lbs","   520,909,007 lbs","   488,076,734 lbs"
"100-66-3","100663","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100-69-6","100696","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"100-70-9","100709","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"100-74-3","100743","                   885,286 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100765-57-9","100765579","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs"
"100-79-8","100798","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100816-02-2","100816022","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10081-67-1","10081671","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"100-85-6","100856","<1,000,000 lbs","             0 lbs","        16,981 lbs","<1,000,000 lbs"
"10086-51-8","10086518","                         0 lbs","        85,779 lbs","        34,230 lbs","             0 lbs"
"100-86-7","100867","                    28,783 lbs","        16,085 lbs","        18,624 lbs","             0 lbs"
"1008-72-6","1008726","100,000 - <500,000 lbs","500,000 - <1,000,000 lbs","100,000 - <500,000 lbs","500,000 - <1,000,000 lbs"
"1008753-84-1","1008753841","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10094-34-5","10094345","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"10094-45-8","10094458","                   796,297 lbs","       623,460 lbs","       425,796 lbs","       287,472 lbs"
"1009-62-7","1009627","                    26,812 lbs","             0 lbs","             0 lbs","             0 lbs"
"100-97-0","100970","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs"
"10097-09-3","10097093","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"100-99-2","100992","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"10099-58-8","10099588","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"10099-59-9","10099599","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"10099-71-5","10099715","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10099-74-8","10099748","1,000,000 - <20,000,000 lbs","100,000 - <500,000 lbs","<1,000,000 lbs","100,000 - <500,000 lbs"
"10099-76-0","10099760","                   111,400 lbs","        70,019 lbs","       101,260 lbs","        32,626 lbs"
"10101-39-0","10101390","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10101-41-4","10101414","                11,000,000 lbs","    11,000,000 lbs","    11,000,000 lbs","    11,000,000 lbs"
"10101-50-5","10101505","                12,290,990 lbs","    10,680,816 lbs","     8,192,183 lbs","     9,857,723 lbs"
"10101-52-7","10101527","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10101-53-8","10101538","                    56,300 lbs","        52,800 lbs","        95,592 lbs","       137,784 lbs"
"10101-66-3","10101663","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10101-88-9","10101889","                 1,090,115 lbs","     2,343,767 lbs","       704,210 lbs","        52,150 lbs"
"101-02-0","101020","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","1,000,000 - <20,000,000 lbs"
"10102-05-3","10102053","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10102-17-7","10102177","                         0 lbs","       100,002 lbs","       150,002 lbs","       176,158 lbs"
"10102-90-6","10102906","                 6,714,873 lbs","       698,496 lbs","       707,365 lbs","       678,942 lbs"
"101033-44-7","101033447","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10103-46-5","10103465","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"10108-73-3","10108733","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","500,000 - <1,000,000 lbs"
"10109-95-2","10109952","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs","1,000,000 - <20,000,000 lbs"
"101-11-1","101111","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10112-91-1","10112911","                    31,083 lbs","        62,060 lbs","       179,390 lbs","       263,026 lbs"
"101-14-4","101144","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"10114-86-0","10114860","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"101162-60-1","101162601","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10117-38-1","10117381","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"101-20-2","101202","                         0 lbs","             0 lbs","        38,720 lbs","        43,615 lbs"
"10124-31-9","10124319","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","10,000,000 - <50,000,000 lbs","1,000,000 - <20,000,000 lbs"
"10124-37-5","10124375","500,000,000 - <750,000,000 lbs","500,000,000 - <750,000,000 lbs","500,000,000 - <750,000,000 lbs","500,000,000 - <750,000,000 lbs"
"10124-41-1","10124411","               122,531,554 lbs","    40,271,475 lbs","    27,326,745 lbs","    27,390,732 lbs"
"10124-43-3","10124433","50,000,000 - <100,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"10124-53-5","10124535","                 2,295,632 lbs","     1,603,481 lbs","     1,473,186 lbs","     1,198,011 lbs"
"10124-54-6","10124546","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10124-56-8","10124568","                   642,005 lbs","       611,175 lbs","       882,908 lbs","       574,624 lbs"
"10124-65-9","10124659","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"101-25-7","101257","<1,000,000 lbs","100,000 - <500,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"10126-68-8","10126688","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"101316-53-4","101316534","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs"
