CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV
"Benzenamine, 4-nitro-",100-01-6,100016,CASRN,"<1,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Pentadecane, 7-methylene-, mixed with 1-tetradecene, dimers and trimers, hydrogenated",1000172-11-1,1000172111,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Nonadecane, 9-methylene-, mixed with 1-decene, dimers and trimers, hydrogenated",1000172-32-6,1000172326,CASRN,"130,000","2,542,800",0,0
"Silicic acid (H2SiO3), potassium salt (1:2)",10006-28-7,10006287,CASRN,"319,540","271,383","267,588","114,669"
"Urea, N-(hydroxymethyl)-",1000-82-4,1000824,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Zinc, bis[O-(1-methylethyl) carbonodithioato-.kappa.S,.kappa.S']-, (T-4)-",1000-90-4,1000904,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Benzaldehyde, 4-(dimethylamino)-",100-10-7,100107,CASRN,"<1,000,000 lb",0,0,0
"Carbamic acid, N-[(butylthio)thioxomethyl]-, butyl ester",1001320-38-2,1001320382,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"4-Octanol, 3-amino-",1001354-72-8,1001354728,CASRN,"844,879","539,240","824,126","647,189"
"1-Propanone, 2-hydroxy-2-methyl-, 1-(4-C10-13-alkylphenyl) derivs.",1001416-18-7,1001416187,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Benzenamine, N-methyl-4-nitro-",100-15-2,100152,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
.alpha.-Cyclodextrin,10016-20-3,10016203,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Ethanol, 2,2',2''-nitrilotris-, phosphate (1:?)",10017-56-8,10017568,CASRN,"130,173","102,836","106,952","126,849"
"2,7-Anthracenedisulfonic acid, 9,10-dihydro-9,10-dioxo-, sodium salt (1:?)",10017-59-1,10017591,CASRN,"168,180","207,900","295,555","51,197"
"Benzene, 1,4-bis(1-methylethyl)-",100-18-5,100185,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"1,4-Benzenedicarbonyl dichloride",100-20-9,100209,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"1,4-Benzenedicarboxylic acid",100-21-0,100210,CASRN,"5,000,000,000 - <10,000,000,000 lb","5,000,000,000 - <10,000,000,000 lb","5,000,000,000 - <10,000,000,000 lb","5,000,000,000 - <10,000,000,000 lb"
"Nitric acid, barium salt (2:1)",10022-31-8,10022318,CASRN,"500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","100,000 - <500,000 lb","<1,000,000 lb"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, manganese salt (1:?)",10024-66-5,10024665,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Neodymium chloride (NdCl3),10024-93-8,10024938,CASRN,"75,000","13,000","81,000",0
