No.	CHRIP_ID	CAS RN	CAS Identity	Chemical Substance Name
1	C006-324-11A	50-89-5		Thymidine
2	C006-324-55A	54-86-4		Sodium nicotinate
3	C007-240-43A	57-00-1		N-amidinosarcosine
4	C007-458-62A	59-48-3		Indolin-2-one
5	C007-262-32A	61-54-1		2-(indol-3-yl)ethylamine
6	C004-722-80A	62-73-7		Dichlorvos
7	C007-336-35A	65-71-4		"5-Methylpyrimidine-2,4(1H,3H)-dione"
8	C006-327-28A	66-77-3		1-Naphthaldehyde
9	C007-471-31A	70-23-5		Ethyl 3-bromo-2-oxopropanoate
10	C005-200-07A	75-10-5		Difluoromethane
11	C005-175-71A	75-16-1		Bromo(methyl)magnesium
12	C006-328-31A	75-30-9		2-iodopropane
13	C004-853-63A	75-60-5		Dimethylarsinic acid
14	C004-792-70A	75-99-0		"2,2-Dichloropropanoic acid"
15	C005-470-28A	77-79-2		"Thiophene, 2,5-dihydro-, 1,1-dioxide"
16	C007-288-85A	78-33-1		Tris(4-tert-butylphenyl) phosphate
17	C005-297-19A	79-16-3		N-Methylacetamide
18	C005-427-49A	79-97-0		"2,2-Bis(4-hydroxy-3-methylphenyl)propane"
19	C005-368-94A	80-73-9		"1,3-Dimethyl-2-imidazolidinone"
20	C005-412-91A	84-62-8		Diphenyl phthalate
21	C005-438-11A	85-29-0		(2-chlorophenyl) (4-chlorophenyl)methanone
22	C007-282-61A	85-69-8		Butyl 2-ethylhexyl phthalate
23	C007-441-09A	87-51-4		Indol-3-ylacetic acid
24	C007-937-64A	88-14-2		2-Furoic acid
25	C007-251-93A	88-67-5		2-iodobenzoic acid
26	C007-467-52A	88-68-6		Anthranilamide
27	C005-804-98A	89-00-9		"2,3-Pyridinedicarboxylic acid"
28	C005-432-19A	90-96-0		"4,4'-Dimethoxybenzophenone"
29	C007-412-80A	91-10-1		"2,6-dimethoxyphenol"
30	C006-299-85A	91-24-7		2-Ethylbenzene-1-sulfonic acid
31	C007-331-68A	91-29-2		2-(4-aminoanilino)-5-nitrobenzenesulphonic acid
32	C004-816-45A	91-95-2		"Biphenyl-3,3',4,4'-tetrayltetraamine"
33	C007-231-75A	93-91-4		"1-phenylbutane-1,3-dione"
34	C007-237-11A	93-97-0		Benzoic anhydride
35	C007-232-00A	95-23-8		"5-Amino-1,3-dihydro-2H-benzimidazol-2-one"
36	C005-806-14A	95-96-5		"3,6-Dimethyl-1,4-dioxane-2,5-dione"
37	C007-425-34A	96-35-5		Methyl glycolate
38	C004-856-47A	97-17-6		Dichlofenthion
39	C006-351-14A	98-43-1		4-sulphoanthranilic acid
40	C004-981-73A	98-57-7		1-chloro-4-(methylsulphonyl)benzene
41	C006-299-96A	98-69-1		4-Ethylbenzene-1-sulfonic acid
42	C006-351-70A	98-74-8		4-nitrobenzenesulphonyl chloride
43	C007-208-14A	99-14-9		"Propane-1,2,3-tricarboxylic acid"
44	C006-044-71A	99-20-7		"alpha,alpha-Trehalose"
45	C006-045-28A	99-93-4		4'-hydroxyacetophenone
46	C007-386-74A	100-12-9		1-ethyl-4-nitrobenzene
47	C005-251-04A	100-50-5		Cyclohex-3-ene-1-carbaldehyde
48	C006-354-21A	100-59-4		Chlorophenylmagnesium
49	C006-354-32A	100-60-7		Cyclohexyl(methyl)amine
50	C007-388-01A	100-81-2		3-methylbenzylamine
51	C005-807-16A	101-39-3		"Cinnamaldehyde, alpha-methyl-"
52	C007-450-22A	102-39-6		M-phenylenedioxydi(acetic acid)
53	C005-421-14A	102-40-9		"2,2'-[m-Phenylenebis(oxy)]bis[ethanol]"
54	C005-429-32A	103-29-7		Bibenzyl
55	C006-356-03A	103-67-3		Benzyl(methyl)amine
56	C006-356-36A	103-89-9		N-(p-Tolyl)acetamide
57	C006-356-47A	104-01-8		(4-Methoxyphenyl)acetic acid
58	C006-356-81A	104-92-7		1-Bromo-4-methoxybenzene
59	C007-323-36A	106-71-8		2-cyanoethyl acrylate
60	C004-996-43A	106-75-2		Oxydiethylene chloroformate
61	C005-303-74A	107-04-0		1-Bromo-2-chloroethane
62	C004-737-16A	107-14-2		Chloroacetonitrile
63	C006-359-76A	108-55-4		Glutaric anhydride
64	C004-733-18A	108-65-6		"2-Propanol, 1-methoxy-, acetate"
65	C007-469-67A	109-29-5		Oxacycloheptadecan-2-one
