No.	CHRIP_ID	CAS RN	CAS Identity	Chemical Substance Name
1	C005-179-57A	96-37-7		Methylcyclopentane
2	C005-486-23A	97-72-3		Isobutyric anhydride
3	C006-351-92A	98-80-6		Phenylboronic acid
4	C006-358-18A	106-58-1		1,4-Dimethylpiperazine
5	C008-089-62A	106-72-9		2,6-Dimethylhepten-5-al
6	C006-359-54A	108-49-6		2,6-Dimethylpiperazine
7	C007-988-50A	121-05-1		N,N-Diisopropylethane-1,2-diamine
8	C008-370-41A	373-91-1		Trifluoromethyl hypofluorite
9	C008-410-25A	453-18-9		Methyl 2-fluoroacetate
10	C008-265-33A	496-10-6		Octahydro-1H-indene
11	C006-678-49A	547-66-0		[Oxalato-kappa(2)O(1),O(2)]magnesium
12	C008-106-99A	588-93-2		1-Bromo-4-propylbenzene
13	C005-186-09A	593-53-3		Fluoromethane
14	C008-364-46A	594-43-4		(Methylsulfonyl)ethane
15	C007-929-87A	646-97-9		1,1,1-Trifluoro-2-(trifluoromethyl)pent-4-en-2-ol
16	C005-386-18A	692-49-9		(Z)-1,1,1,4,4,4-Hexafluorobut-2-ene
17	C012-547-73A	954-16-5		Mesityl(phenyl)methanone
18	C006-444-22A	1038-95-5		Tris(4-methylphenyl)phosphine
19	C012-566-11A	1195-79-5		1,3,3-Trimethylbicyclo[2.2.1]heptan-2-one
20	C007-883-12A	1458-98-6		3-Bromo-2-methylprop-1-ene
21	C008-468-15A	1568-80-5		3,3,3',3'-Tetramethyl-1,1'-spirobi[indane]-6,6'-diol
22	C008-011-54A	1679-47-6		3-Methyl-dihydrofuran-2(3H)-one
23	C006-467-13A	1907-33-1		Lithium 2-methylpropan-2-olate
24	C008-239-87A	2044-28-2		2-[2-Pyridyl]ethanethiol
25	C006-470-56A	2083-91-2		N,N,1,1,1-Pentamethylsilanamine
26	C008-470-90A	2206-94-2		1-Phenylvinyl acetate
27	C006-473-41A	2232-12-4		1,3-Diiodo-5,5-dimethylimidazolidine-2,4-dione
28	C012-643-80A	2274-11-5		Ethylene diacrylate
29	C007-663-63A	2343-89-7		Methyl 2-fluoroacrylate
30	C012-651-90A	2420-94-2		2-Aminoethyl methacrylate monohydrochloride
31	C005-514-11A	2528-36-1		Dibutan-1-yl phenyl phosphate
32	C007-950-00A	2754-41-8	(※1)	Cyclohexane-1,2:4,5-tetracarboxylic dianhydride
33	C008-235-90A	2804-55-9		1,1-Dichloro-2,3,3,3-tetrafluoroprop-1-ene
34	C008-286-64A	3061-88-9		L-Alanyl-L-tyrosine
35	C006-494-16A	3153-37-5		Methyl 4-chlorobutyrate
36	C008-065-24A	3262-89-3		Triphenylboroxin
37	C005-411-88A	3972-65-4		1-Bromo-4-tert-butylbenzene
38	C006-521-13A	4039-32-1		Lithium 1,1,1,3,3,3-hexamethyldisilazan-2-ide
39	C008-266-24A	4538-42-5		1,5-Diisocyanatopentane
40	C012-764-93A	4695-62-9		(1S,4R)-1,3,3-Trimethylbicyclo[2.2.1]heptan-2-one
41	C008-438-16A	4720-58-5		2,2,6,6-Tetraoxo-1,2lambda(6),6lambda(6)-oxadithiane
42	C007-669-54A	4834-98-4		Dodecanedioyl dichloride
43	C008-464-28A	4912-58-7		2-Ethoxy-4-(hydroxymethyl)phenol
44	C008-304-04A	5205-01-6		3-Hydroxy-3-methylbutyl acetate
45	C008-306-20A	5205-15-2		3-Methylbutane-1,3-diyl diacetate
46	C006-531-61A	6443-69-2		1,2,3-Trimethoxy-5-methylbenzene
47	C008-329-22A	7483-59-2		3-(Piperazin-1-yl)propane-1,2-diol
48	C006-554-74A	7539-12-0		3-Allyldihydrofuran-2,5-dione
49	C012-905-06A	7787-20-4		(1R,4S)-1,3,3-Trimethylbicyclo[2.2.1]heptan-2-one
50	C006-561-82A	10497-05-9		Tris(trimethylsilyl) phosphate
51	C013-025-12A	12136-58-2		Dilithium sulfide
52	C008-327-39A	13286-24-3		S-(3-Aminopropyl) hydrogen sulfurothioate
53	C006-572-32A	13450-90-3		Gallium trichloride
54	C008-415-81A	13862-16-3		Trisilylamine
55	C008-398-98A	14657-64-8		3-[Hydroxy(phenyl)phosphoryl]propanoic acid
56	C008-448-08A	14737-89-4		(E)-3-(3,4-Dimethoxyphenyl)acrylic acid
57	C008-328-97A	14984-76-0		Potassium bis(fluorosulfonyl)azanide
58	C026-038-90A	15229-79-5	(※1)	Cyclododeca-4,8-dien-1-one
59	C017-469-96A	15500-04-6		[Oxalato-kappa(2)O(1),O(2)](oxido)vanadium
60	C013-129-70A	15743-44-9		Potassium glycinate
61	C026-089-53A	16156-58-4		Prop-2-yn-1-yl methanesulfonate
62	C008-207-95A	18023-34-2		N,N'-(1-Methyl-1-vinylsilanediyl)bis(diethylamine)
63	C008-443-08A	18649-05-3		Cesium dihydrogen phosphate
64	C007-986-78A	19389-73-2		2,2'-({[Oxybis(4,1-phenylene)]bis(oxy)}bis(methylene))bis(oxirane)
65	C022-934-65A	21668-77-9		Propane-1,3-disulfonic acid
66	C008-037-41A	23960-07-8		2-Isopropenyl-5-methylhex-4-en-1-yl 3-methylbut-2-enoate
67	C008-267-04A	24389-25-1		Lithium phosphorodifluoridate
68	C008-359-10A	25016-19-7		Methyl 1,3,5-trimethyl-1H-pyrazole-4-carboxylate
69	C008-221-33A	25108-36-5		Potassium pyridine-2-carboxylate
70	C008-283-79A	26101-52-0	(※1)	Polymer of ethenesulfonic acid
71	C008-016-43A	26953-98-0		Sodium 1,1,2,2-tetrafluoro-2-[(1,2,2-trifluorovinyl)oxy]ethanesulfonate
72	C008-415-25A	27804-64-4		N,N,N',N'-Tetraethylsilanediamine
73	C008-433-61A	28262-37-5	(※1)	Polymer of diphenyl(vinyl)phosphane oxide
74	C008-204-22A	28645-51-4		Oxacycloheptadec-10-en-2-one
75	C006-226-88A	32764-98-0		6-(Pent-3-en-1-yl)tetrahydro-2H-pyran-2-one
76	C013-485-50A	33704-61-9		1,2,3,5,6,7-hexahydro-1,1,2,3,3-pentamethyl-4H-inden-4-one
77	C008-443-19A	33943-65-6		Dicesium hydrogen phosphate
78	C008-130-85A	34335-10-9		Zinc phenylphosphonate
79	C008-412-74A	34762-90-8	(※1)	Trichloro[dimethyl(octyl)ammonio]borate
80	C008-052-81A	34844-48-9		1,1,1-Trifluoro-2-(trifluoromethyl)pentane-2,4-diol
81	C008-037-74A	36567-04-1		2-Methyl-1-(methylsulfanyl)propan-2-amine
82	C017-454-48A	36978-36-6		Tetramethyl biphenyl-2,3,3',4'-tetracarboxylate
83	C008-018-58A	37674-57-0		(3-Ethyloxetan-3-yl)methyl methacrylate
84	C008-414-56A	37953-82-5	(※1)	Polymer of dimethyl vinylphosphonate
85	C008-353-18A	38891-59-7	(※1)	Polymer of 2-aminoethanol / 2-(chloromethyl)oxirane / 4,4'-(isopropylidene)diphenol
86	C008-038-54A	41988-14-1		(3-Ethyloxetan-3-yl)methyl acrylate
87	C006-158-43A	42757-55-1		Bis[3,5-dibromo-4-(2,3-dibromopropoxy)phenyl] sulphone
88	C008-253-25A	51920-52-6		1-Ethoxyethyl methacrylate
89	C008-454-70A	52968-65-7		3-Oxobutan-2-yl methacrylate
90	C008-188-64A	53075-09-5		N,N,N-Trimethyltricyclo[3.3.1.13,7]decan-1-aminium hydroxide
91	C008-126-39A	53611-01-1	(※1)	1,3-Dioxo-octahydroisobenzofuran-5-carboxylic acid
92	C008-028-06A	55034-79-2		Bis[1,3]benzimidazo[2,1-a:2',1'-a']anthra[2,1,9-def:6,5,10-d'e'f']diisoquinoline-10,21-dione
93	C008-028-17A	55034-81-6		Bis[1,3]benzimidazo[2,1-a:1',2'-b']anthra[2,1,9-def:6,5,10-d'e'f']diisoquinoline-6,11-dione
94	C008-269-86A	55217-59-9		6-Phenoxy-6H-dibenz[c,e][1,2]oxaphosphorin 6-oxide
95	C008-385-66A	55441-95-7		2,2'-([1,1'-Binaphthalene]-2,2'-diyldioxy)diethanol
96	C008-181-15A	55491-44-6		Calcium strontium bis{3-hydroxy-4-[(4-methyl-2-sulfonatophenyl)diazenyl]-2-naphthoate}
97	C007-896-77A	56992-87-1		N-[4-(Aminosulfonyl)phenyl]-methacrylamide
98	C008-341-88A	57592-67-3	(※1)	Polymer of hexane-1,6-diyl diacrylate
99	C013-808-36A	57673-14-0	(※1)	Polymer of ethyl acrylate / N-(hydroxymethyl)acrylamide / 2-methylidenesuccinic acid / methyl methacrylate
100	C007-986-56A	58567-11-6		(Ethoxymethoxy)cyclododecane
101	C008-344-73A	59640-41-4		Iron(3+) tribenzenesulfonate
102	C008-344-17A	61764-71-4		Methyl prop-2-yn-1-yl carbonate
103	C008-048-02A	63500-71-0		2-Isobutyl-4-methyltetrahydro-2H-pyran-4-ol
104	C032-034-87A	63570-37-6	(※1)	Polyaddition products of oxirane / 2-(phenoxymethyl)oxirane / 2-methyloxirane (It is limited that the content of the components having molecular weight less than 1,000 is 1% or less.)
105	C014-049-00A	64835-63-8		4-Methyl-4'-pentylbiphenyl
106	C008-089-28A	68039-49-6	(※1)	2,4-Dimethylcyclohex-3-ene-1-carboxaldehyde
107	C008-225-31A	68585-11-5	(※1)	2-hydroxyethyl acrylate-blocked [polymer of 1,1'-methylenebis(4-isocyanatocyclohexane) / oxepan-2-one / 2,2'-oxydiethanol]
