CAS No	Chemical Name	IUPAC Name	Hazard Classification
(100-49-2)-I1A3-IM	Cyclohexylmethyl S-2-isopropylmethylaminoethyl isopropylphosphonothiolate	Cyclohexylmethyl S-2-isopropylmethylaminoethyl isopropylphosphonothiolate	
(100-49-2)-I2B41-S(Na)	Cyclohexylmethyl S-sodium isopropylphosphonothiolate	Cyclohexylmethyl S-sodium isopropylphosphonothiolate	
(100-49-2)-P2B41-S(Na)	Cyclohexylmethyl S-sodium propylphosphonothiolate	Cyclohexylmethyl S-sodium propylphosphonothiolate	
(100-51-6)-M2B41	Benzyl methylphosphonate	Benzyl methylphosphonate	
(105-30-6)-E1A3-II	2-Methylpentyl S-2-diisopropylaminoethyl ethylphosphonothiolate	2-Methylpentyl S-2-diisopropylaminoethyl ethylphosphonothiolate	
(105-30-6)-E1A3-MM	2-Methylpentyl S-2-dimethylaminoethyl ethylphosphonothiolate	2-Methylpentyl S-2-dimethylaminoethyl ethylphosphonothiolate	
(105-30-6)-E1A3-PP	2-Methylpentyl S-2-dipropylaminoethyl ethylphosphonothiolate	2-Methylpentyl S-2-dipropylaminoethyl ethylphosphonothiolate	
(105-30-6)-M1A3-II	2-Methylpentyl S-2-diisopropylaminoethyl methylphosphonothiolate	2-Methylpentyl S-2-diisopropylaminoethyl methylphosphonothiolate	
(105-30-6)-M1A3-MM	2-Methylpentyl S-2-dimethylaminoethyl methylphosphonothiolate	2-Methylpentyl S-2-dimethylaminoethyl methylphosphonothiolate	
(105-30-6)-M1A3-PP	2-Methylpentyl S-2-dipropylaminoethyl methylphosphonothiolate	2-Methylpentyl S-2-dipropylaminoethyl methylphosphonothiolate	
(108-11-2)-1A2-II	"1,3-Dimethylbutyl N,N-diisopropylphosphoramidocyanidate"	"1,3-Dimethylbutyl N,N-diisopropylphosphoramidocyanidate"	
(108-11-2)-M1A3-II	"1,3-Dimethylbutyl S-2-diisopropylaminoethyl methylphosphonothiolate"	"1,3-Dimethylbutyl S-2-diisopropylaminoethyl methylphosphonothiolate"	
(108-11-2)-M2B41-(464-07-3)	"1,3-Dimethylbutyl pinacolyl methylphosphonate"	"1,3-Dimethylbutyl pinacolyl methylphosphonate"	
(108-82-7)-I1A1	1-Isobutyl-3-methylbutyl isopropylphosphonofluoridate	1-Isobutyl-3-methylbutyl isopropylphosphonofluoridate	
(108-82-7)-P1A1	1-Isobutyl-3-methylbutyl propylphosphonofluoridate	1-Isobutyl-3-methylbutyl propylphosphonofluoridate	
(108-93-0)-1A2-EE	"Cyclohexyl N,N-diethylphosphoramidocyanidate"	"Cyclohexyl N,N-diethylphosphoramidocyanidate"	
(108-93-0)-1A2-II	"Cyclohexyl N,N-diisopropylphosphoramidocyanidate"	"Cyclohexyl N,N-diisopropylphosphoramidocyanidate"	
(108-93-0)-1A2-IP	Cyclohexyl N-isopropyl-N-propylphosphoramidocyanidate	Cyclohexyl N-isopropyl-N-propylphosphoramidocyanidate	
(108-93-0)-1A2-MM	"Cyclohexyl N,N-dimethylphosphoramidocyanidate"	"Cyclohexyl N,N-dimethylphosphoramidocyanidate"	
(108-93-0)-1A2-PP	"Cyclohexyl N,N-dipropylphosphoramidocyanidate"	"Cyclohexyl N,N-dipropylphosphoramidocyanidate"	
(108-93-0)-E1A3-II	Cyclohexyl S-2-diisopropylaminoethyl ethylphosphonothiolate	Cyclohexyl S-2-diisopropylaminoethyl ethylphosphonothiolate	
(108-93-0)-E1A3-MM	Cyclohexyl S-2-dimethylaminoethyl ethylphosphonothiolate	Cyclohexyl S-2-dimethylaminoethyl ethylphosphonothiolate	
(108-93-0)-E1A3-PP	Cyclohexyl S-2-dipropylaminoethyl ethylphosphonothiolate	Cyclohexyl S-2-dipropylaminoethyl ethylphosphonothiolate	
(108-93-0)-E2B41-(64-17-5)	Cyclohexyl ethyl ethylphosphonate	Cyclohexyl ethyl ethylphosphonate	
(108-93-0)-M1A1(D3)	Cyclohexyl methyl-d3-phosphonofluoridate	Cyclohexyl methyl-d3-phosphonofluoridate	
(108-93-0)-M1A3-II	Cyclohexyl S-2-diisopropylaminoethyl methylphosphonothiolate	Cyclohexyl S-2-diisopropylaminoethyl methylphosphonothiolate	
(108-93-0)-M1A3-PP	Cyclohexyl S-2-dipropylaminoethyl methylphosphonothiolate	Cyclohexyl S-2-dipropylaminoethyl methylphosphonothiolate	
(108-93-0)-M2B41-(464-07-3)	Cyclohexyl pinacolyl methylphosphonate	Cyclohexyl pinacolyl methylphosphonate	
(108-93-0)-M2B41-N(65-56-1)(107-21-1)	Cyclohexyl N-methyl-N-(2-hydroxyethyl) methylphosphonoamidate	Cyclohexyl N-methyl-N-(2-hydroxyethyl) methylphosphonoamidate	
(108-93-0)-M2B42	Cyclohexyl methylphosphinate	Cyclohexyl methylphosphinate	
(108-93-0)-P1A3-EE	Cyclohexyl S-2-diethylaminoethyl propylphosphonothiolate	Cyclohexyl S-2-diethylaminoethyl propylphosphonothiolate	
(111-27-3)-E1A3-II	Hexyl S-2-diisopropylaminoethyl ethylphosphonothiolate	Hexyl S-2-diisopropylaminoethyl ethylphosphonothiolate	
(111-27-3)-E1A3-MM	Hexyl S-2-dimethylaminoethyl ethylphosphonothiolate	Hexyl S-2-dimethylaminoethyl ethylphosphonothiolate	
(111-27-3)-E1A3-PP	Hexyl S-2-dipropylaminoethyl ethylphosphonothiolate	Hexyl S-2-dipropylaminoethyl ethylphosphonothiolate	
(111-27-3)-M1A3-PP	Hexyl S-2-dipropylaminoethyl methylphosphonothiolate	Hexyl S-2-dipropylaminoethyl methylphosphonothiolate	
(111-27-3)-M2B45-(111-27-3)	"O,O-Dihexyl methylphosphonothionate"	"O,O-Dihexyl methylphosphonothionate"	
(111-27-3)-M2B45	O-Hexyl methylphosphonothionate	O-Hexyl methylphosphonothionate	
(111-48-8)-D8	Bis(2-hydroxyethyl-d4)sulfide	Bis(2-hydroxyethyl-d4)sulfide	
(111-70-6)-1A2-EE	"Heptyl N,N-diethylphosphoramidocyanidate"	"Heptyl N,N-diethylphosphoramidocyanidate"	
(111-70-6)-1A2-IM	Heptyl N-isopropyl-N-methylphosphoramidocyanidate	Heptyl N-isopropyl-N-methylphosphoramidocyanidate	
(111-70-6)-E1A3-II	Heptyl S-2-diisopropylaminoethyl ethylphosphonothiolate	Heptyl S-2-diisopropylaminoethyl ethylphosphonothiolate	
(111-70-6)-E1A3-MM	Heptyl S-2-dimethylaminoethyl ethylphosphonothiolate	Heptyl S-2-dimethylaminoethyl ethylphosphonothiolate	
(111-70-6)-E1A3-PP	Heptyl S-2-dipropylaminoethyl ethylphosphonothiolate	Heptyl S-2-dipropylaminoethyl ethylphosphonothiolate	
