Registered Substances
Export date: {0} 22/07/2022 08:07:49
Last updated18/07/2022. database-contains 23783 unique-substances-and-contains-information-from 107625 dossiers.

"substanceName"	""
"ecNumber"	""
"casNumber"	""
"otherNumber"	""
"otherNumericalIdentifiers"	

"registrationType"	
"submissionType"	
"country"	
"firstPublishedDateMin"	
"firstPublishedDateMax"	
"lastUpdateDateMin"	
"lastUpdateDateMax"	
"registrantName"	""
"registrationNumber"	""
"tonnageBandType"	"ALL"
"tonnageBandMin"	
"tonnageBandMax"	
"substancesHasNanoform"	"-1"
"pbtAssesmentOutcome"	
"csaPerformed"	
"lifecycles"	

"uses"	

"usesOperatorIsAnd"	"true"
"uses"	

"registrationStatus"	
"registrantAddress"	
"registrantLastUpdateYear"	


"Name"	"EC / List Number"	"Cas Number"	"ID"	"Registration Status"	"Registration Type"	"Submission Type"	"Total tonnage Band"	"Tonnage Band Min"	"Tonnage Band Max "	"Last Updated"	"Factsheet URL"	"Substance Information Page"	
" Reaction products of 2-hydroxy-6-nitro-4-sulphonaphthalene-1-diazonium coupled with resorcinol, subsequently coupled with diazotised 5-amino-2-anilinobenzenesulphonic acid, iron(III) complexes, sodium salts"	"947-799-0"	"-"	"100.260.319"	"Active"	"FULL"	"JOINT_SUBMISSION"	"≥ 10 to < 100 tonnes"	"10"	"100"	"21-12-2020"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/28370"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.260.319"	
"''amyl nitrite'', mixed isomers"	"203-770-8"	"110-46-3"	"100.003.429"	"Active"	"FULL"	"JOINT_SUBMISSION"	"≥ 10 to < 100 tonnes"	"10"	"100"	"28-06-2019"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/27335"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.003.429"	
"''amyl nitrite'', mixed isomers"	"203-770-8"	"110-46-3"	"100.003.429"	"Active"	"INTERMEDIATE"	"JOINT_SUBMISSION"	"Intermediate use only"	"10-12-2019"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/30183"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.003.429"	
"( 4-hydroxystyrene, 4-t butoxy styrene and 2,5-dimethyl -2.5-diacryloxyhexane) copolymer"	"433-610-4"	"-"	"100.103.185"	"Active"	"NONS"	"INDIVIDUAL_SUBMISSION"	"Tonnage data confidential"	"10-11-2008"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/4155"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.103.185"	
"((2-ethyl-1-oxohexyl)oxy)-(1-phenyl-1,3-decanedionyl)dioctyl stannane;bis(1-phenyl-1,3-decanedionyl)dioctyl stannane;bis[((2-ethyl-1-oxohexyl)oxy)dioctylstannyl]oxide;reaction mass of: bis[(2-ethyl-1-oxohexyl)oxy]dioctyl stannane"	"422-920-5"	"-"	"100.102.149"	"Active"	"NONS"	"INDIVIDUAL_SUBMISSION"	"Tonnage data confidential"	"10-11-2008"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/4753"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.102.149"	
"((4-phenylbutyl)hydroxyphosphoryl)acetic acid"	"412-170-7"	"83623-61-4"	"100.101.153"	"Active"	"NONS"	"INDIVIDUAL_SUBMISSION"	"Tonnage data confidential"	"15-12-2008"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/2547"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.101.153"	
"((4S,4aR,7S,7aR)-4,7-dimethylhexahydrocyclopenta[c]pyran-1(3H)-one"	"953-513-5"	"-"	"100.315.575"	"Active"	"FULL"	"JOINT_SUBMISSION"	"≥ 0 to < 10 tonnes"	"0"	"10"	"04-08-2021"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/32795"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.315.575"	
"((6-chloro-4-((2-methoxy-3-(1-methyl-1H-1.2.4-triazol-3-yl)phenyl)amino)pyridazine-3-carbonyl)oxy) hemi-zinc salt"	"950-319-2"	"-"	"100.275.469"	"Active"	"INTERMEDIATE"	"INDIVIDUAL_SUBMISSION"	"Intermediate use only"	"10-07-2019"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/29436"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.275.469"	
"(+)-(1S,2S,3S,5R)-2,6,6-trimethylbicyclo[3.1.1]heptane-3-spiro-1'-(cyclohex-2'-en-4'-one)"	"430-460-1"	"133636-82-5"	"100.102.879"	"Active"	"NONS"	"JOINT_SUBMISSION"	"Tonnage data confidential"	"22-11-2012"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/9884"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.102.879"	
"(+)-13-ethyl-1,6,7,8,9,10,11,12,13,14,15,16-dodecahydro-2H-cyclopenta[a]phenanthrene-3,17-dione"	"418-490-3"	"21800-83-9"	"100.101.730"	"Active"	"NONS"	"INDIVIDUAL_SUBMISSION"	"Tonnage data confidential"	"10-11-2008"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/4892"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.101.730"	
"(+)-2-amino-1-butanol"	"227-475-9"	"5856-62-2"	"100.024.978"	"Cease Manufacture"	"INTERMEDIATE"	"JOINT_SUBMISSION"	"Cease manufacture"	"10-04-2017"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/19252"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.024.978"	
"(+)-2-aminopropan-1-ol"	"220-388-7"	"2749-11-3"	"100.018.535"	"Active"	"INTERMEDIATE"	"INDIVIDUAL_SUBMISSION"	"Intermediate use only"	"08-06-2016"	"https://echa.europa.eu/registration-dossier/-/registered-dossier/17701"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.018.535"	
