CASNO	Substances
50-00-0	Formaldehyde
50-01-1	GUANIDINIUMCHLORID
50-02-2	"PREGNA-1,4-DIENE-3,20-DIONE, 9-FLUORO-11,17,21-TRIHYDROXY-16-METHYL-, (11.BETA.,16.ALPHA.)-"
50-03-3	HYDROCORTISONACETAT
50-06-6	PHENOBARBITAL
50-07-7	MITOMYCIN C
50-09-9	
50-13-5	"4-Piperidinecarboxylic acid, 1-methyl-4-phenyl-,ethyl ester, hydrochloride"
50-14-6	ERGOCALCIFEROL
50-18-0	CYCLOPHOSPHAMID
50-21-5	"PROPANOIC ACID, 2-HYDROXY-"
50-23-7	HYDROCORTISON
50-24-8	"Pregna-1,4-diene-3,20-dione, 11,17,21-trihydroxy-, (11.beta.)-"
50-27-1	"16.ALPHA.,17.BETA.-OESTRIOL"
50-28-2	17.BETA.-ESTRADIOL
50-29-3	"2,2-BIS(4-CHLORPHENYL)-1,1,1-TRICHLORETHAN"
50-31-7	"2,3,6-TBA (ISO)"
50-32-8	BENZO[a]PYREN
50-33-9	"3,5-Pyrazolidinedione, 4-butyl-1,2-diphenyl-"
50-41-9	"2-(4-(2-CHLOR-1,2-DIPHENYLVINYL)PHENOXY)-N,N-DIETHYLETHANAMIN CITRAT (1:1)"
50-44-2	"1,7-DIHYDRO-6H-PURIN-6-THION"
50-49-7	
50-50-0	"Estra-1,3,5(10)-triene-3,17-diol (17.beta.)-, 3-benzoate"
50-52-2	"10H-Phenothiazine, 10-[2-(1-methyl-2-piperidinyl)ethyl]-2-(methylthio)-"
50-55-5	"Yohimban-16-carboxylic acid, 11,17-dimethoxy-18-[(3,4,5-trimethoxybenzoyl)oxy]-, methyl ester, (3.beta.,16.beta.,17.alpha.,18.beta.,20.alpha.)-"
50-56-6	Oxytocin
50-59-9	"Pyridinium, 1-[[2-carboxy-8-oxo-7-[(2-thienylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-en-3-yl]methyl]-, hydroxide, inner salt, (6R-trans)-"
50-63-5	ARECHIN
50-65-7	"BENZAMIDE, 5-CHLORO-N-(2-CHLORO-4-NITROPHENYL)-2-HYDROXY-"
50-70-4	SORBITOL
50-76-0	Actinomycin D
50-78-2	ACETYLSALICYLSYRE
50-81-7	L-Ascorbic acid
50-85-1	"BENZOIC ACID, 2-HYDROXY-4-METHYL-"
50-86-2	"Benzoic acid, 4-(acetylamino)-2-hydroxy-"
50-98-6	"EPHEDRIN, HYDROCHLORID"
50-99-7	D-GLUCOSE
51-03-6	PIPERONYL BUTOXYD
51-05-8	"PROCAIN, HYDROCHLORID"
51-14-9	Sesamex
51-17-2	BENZIMIDAZOL
